address,country,focus,mission,name,notes,phone,postal,slug,sponsor,timebank,url,url_2
310 Waiwhetu Road,New Zealand,,The Unity Exchange exists to enable all community members to be able to use their resources and skills as a method of exchange that does not require money.,Unity Exchange,,273723385,"Lower Hutt, Wellington 5010",timebanks/unity-exchange,The Common Unity Project Aotearoa,unityexchange,http://unityexchange.timebanks.org,http://www.commonunityproject.org.nz
178 McCormick Road,United States,,The UVa Time Bank strives to create a platform of connectivity amongst both students and residents of the Charlottesville community. This time bank will serve to foster an economy fueled by the exchange of skills and talents through a universal currency: time.,UVa Time Bank,,703-939-7835,"Charlottesville, Virginia 22903",timebanks/uva-time-bank,The University of Virginia,uva,http://uva.timebanks.org,
4424 Reef Road,United States,,The mission of the Village Cooperative Exchange is to build and strengthen relationships within its community. Connecting people’s unmet needs and untapped resources.,Village Cooperative Exchange,,626-922-6023,"Marietta, Georgia 30066",timebanks/village-cooperative-exchange,,villagece,http://villagece.timebanks.org,http://www.villagece.org
25 Ward Street,New Zealand,,"Re-connecting communities, sharing resources & enhancing the quality of life one hour at a time",Waikato TimeBank,,64 7 834 2249,"Hamilton,  3244",timebanks/hamilton-timebank,Hamilton Permaculture Trust,waikato,http://waikato.timebanks.org,
"184 Kiriwhakapapa Road, RD 1",New Zealand,,Providing a Timebank Service for the Wairarapa Community,Wairarapa Timebank,,6463725866,"Masterton, Wairarapa, Wellington 5881",timebanks/wairarapa-timebank,,wairarapa,http://wairarapa.timebanks.org,http://wairarapatimebank.blogspot.co.nz/
"35 Tulliemet Road, RD 8O",New Zealand,,My TimeBank Mission Statement,Waitaki TimeBank,,03 434 0999,"Oamaru,  9495",timebanks/timebank-waitaki,Natural Heritage Society,waitaki,http://waitaki.timebanks.org,
73 Brownston Street,New Zealand,,"Wanaka Time Bank facilitates sharing of our resources, skills and services to create abundance within our community for all.",Wanaka Time Bank,,03 443 7799,"Wanaka, Otago 9305",timebanks/wanaka-time-bank,,wanaka,http://wanaka.timebanks.org,
"Cnr Rintoul and Colombo Streets, Newtown",New Zealand,,"Weaving reciprocity, resilience and generosity into our communities.",Wellington Timebank,,(04) 920 6708,"Wellington,  6021",timebanks/wellington-south-time-bank,,wellingtonsouth,http://wellingtonsouth.timebanks.org,http://www.wellingtontimebank.org.nz
2201 W. Craig Rd,United States,,,West Prairie Village Time Bank,,509-244-3469,"Spokane, Washington 99224",timebanks/west-prairie-village-time-bank,,westprairievillage,http://westprairievillage.timebanks.org,
6338 38th Ave SW,United States,,"The West Seattle Timebank builds community by sharing volunteer time, talents and services.",West Seattle Timebank,,2062613586,"Seattle, Washington 98126",timebanks/west-seattle,,westseattle,http://westseattle.timebanks.org,http://WestSeattleTimebank.org
1575 Main Street,United States,,It is the mission of WNCW to develop and support a community of writers in Western North Carolina.  WNCW seeks to encourage a community where members can exchange service and assistance in the development of their writing skills.,Western North Carolina Writers Time Bank,,423-413-3154,"Bryson City, North Carolina 28713",timebanks/western-north-carolina-writers-time-bank,,wncw,http://wncw.timebanks.org,
6038 Empress,Canada,,"Working together to make ourselves, our citizens, and our community more well.",Windsor Essex Compassionate Community,,519-254-2581 ext. 2424,"Windsor, Ontario N8T 1B5",timebanks/windsor-essex-compassionate-community,The Hospice of Windsor and Essex County,wecompassionatecommunity,http://wecompassionatecommunity.timebanks.org,
1887 Jamestown Lane,United States,,"The York County Time Bank exists to facilitate inclusive exchanges of time and talents, with the goal of nurturing resilient, interconnected community where everyone’s time is recognized as having equal value.",York Time Bank,,240-431-2736,"York, Pennsylvania 17408",timebanks/york-time-bank,,york,http://york.timebanks.org,https://yorkcountytimebank.com/
