address,country,exchanges,focus,hours,last_exchange,members,name,notes,offers,phone,postal,requests,slug,sponsor,url,url_2
"6619 132nd Avenue, NE, PMB #183",United States,2485,,5567,1 week 54 min ago,184,Timebanks of Puget Sound (TOPS),West Seattle TimeBank EastsideTimeBank Mercer IslandTimeBank Vashon IslandTimeBank,31,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">206-818-4606</span>
</div>","Kirkland, Washington 98033",29,timebanks/timebanks-puget-sound,,http://tops.timebanks.org,
"741-4, Doryang-dong",South Korea,9676,,36449,1 day 22 hours ago,639,timebankskorea,,1,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">82-2-10-9008-2992</span>
</div>","Gumi,  39198",1,timebanks/timebankskorea,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">John Center, Gumi, Korea</span>
</div>",http://korea.timebanks.org,
Yesha'ayahu 3,Israel,37,,63,3 years 32 weeks ago,33,TimeBankTLV,,4,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">544646695</span>
</div>","Tel Aviv, Tel Aviv 62494",4,timebanks/timebanktlv,,http://tlv.timebanks.org,
"5500 39th Street, NW",United States,314,,1559,5 weeks 10 hours ago,133,TimeForAll,,23,,"Washington, District Of Columbia 20015",29,timebanks/tbusa,,http://timeforall.timebanks.org,
"ARC of the Northwoods, 514 West Main Street",United States,579,,3717,1 year 30 weeks ago,96,TimeTraders North and the Washburn Area Timebank,,3,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">715-682-7171</span>
</div>","Ashland, Wisconsin 54806",3,node/835,,http://timetradersnorth.timebanks.org,
120 South Street,United States,19,,170,1 week 1 day ago,51,Together We Can,,3,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">845-432-4033</span>
</div>","Newburgh, New York 12550",6,timebanks/together-we-can,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Individuals Making Positive Advancements in their Communities Together, Inc.</span>
</div>",http://togetherwecan.timebanks.org,
5833 Meetinghouse Rd,United States,136,,317,22 weeks 4 days ago,41,Tully Area TimeBank,,15,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">315-416-6629</span>
</div>","Tully, New York 13159",15,timebanks/tully-area-timebank,,http://tullyarea.timebanks.org,
1929 Hammerlin Avenue,United States,none (start up),,none (start up),none (start up),2,Ubuntu,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">407-432-1597</span>
</div>","Winter Park, Florida 32789",0,timebanks/ubuntu,,http://ubuntu.timebanks.org,
"4200 Connecticut Ave NW, Building 38 2nd Floor",United States,1961,,7307,3 days 23 hours ago,328,UDC TimeBank,,5,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">not listed</span>
</div>","Washington, District Of Columbia 20008",2,timebanks/udc-timebank,,http://udc.timebanks.org,
310 Waiwhetu Road,New Zealand,186,,670,3 weeks 3 days ago,91,Unity Exchange,,13,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">273723385</span>
</div>","Lower Hutt, Wellington 5010",19,timebanks/unity-exchange,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">The Common Unity Project Aotearoa</span>
</div>",http://unityexchange.timebanks.org,
178 McCormick Road,United States,none (start up),,none (start up),none (start up),2,UVa Time Bank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">703-939-7835</span>
</div>","Charlottesville, Virginia 22903",0,timebanks/uva-time-bank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">The University of Virginia</span>
</div>",http://uva.timebanks.org,
4424 Reef Road,United States,112,,217,2 years 51 weeks ago,36,Village Cooperative Exchange,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">626-922-6023</span>
</div>","Marietta, Georgia 30066",0,timebanks/village-cooperative-exchange,,http://villagece.timebanks.org,
25 Ward Street,New Zealand,1913,,4686,18 weeks 4 days ago,245,Waikato TimeBank,,12,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">64 7 834 2249</span>
</div>","Hamilton,  3244",10,timebanks/hamilton-timebank,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Hamilton Permaculture Trust</span>
</div>",http://waikato.timebanks.org,
"184 Kiriwhakapapa Road, RD 1",New Zealand,155,,314,4 weeks 19 hours ago,62,Wairarapa Timebank,,67,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">6463725866</span>
</div>","Masterton, Wairarapa, Wellington 5881",66,timebanks/wairarapa-timebank,,http://wairarapa.timebanks.org,
"35 Tulliemet Road, RD 8O",New Zealand,227,,372,47 weeks 3 hours ago,44,Waitaki TimeBank,,2,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">03 434 0999</span>
</div>","Oamaru,  9495",3,timebanks/timebank-waitaki,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">Natural Heritage Society</span>
</div>",http://waitaki.timebanks.org,
73 Brownston Street,New Zealand,57,,920,26 weeks 4 days ago,55,Wanaka Time Bank,,3,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">03 443 7799</span>
</div>","Wanaka, Otago 9305",3,timebanks/wanaka-time-bank,,http://wanaka.timebanks.org,
"Cnr Rintoul and Colombo Streets, Newtown",New Zealand,8507,,21863,1 week 1 day ago,589,Wellington Timebank,,75,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">(04) 920 6708</span>
</div>","Wellington,  6021",105,timebanks/wellington-south-time-bank,,http://wellingtonsouth.timebanks.org,
2201 W. Craig Rd,United States,35,,61,24 weeks 2 days ago,19,West Prairie Village Time Bank,,2,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">509-244-3469</span>
</div>","Spokane, Washington 99224",3,timebanks/west-prairie-village-time-bank,,http://westprairievillage.timebanks.org,
6338 38th Ave SW,United States,3382,,9657,10 hours 35 min ago,402,West Seattle Timebank,,64,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">2062613586</span>
</div>","Seattle, Washington 98126",78,timebanks/west-seattle,,http://westseattle.timebanks.org,
1575 Main Street,United States,1,,1,1 year 30 weeks ago,10,Western North Carolina Writers Time Bank,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">423-413-3154</span>
</div>","Bryson City, North Carolina 28713",0,timebanks/western-north-carolina-writers-time-bank,,http://wncw.timebanks.org,
6038 Empress,Canada,20,,30,2 years 28 weeks ago,25,Windsor Essex Compassionate Community,,0,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">519-254-2581 ext. 2424</span>
</div>","Windsor, Ontario N8T 1B5",0,timebanks/windsor-essex-compassionate-community,"<div class=""views-field-field-tb-sponsor-value"">
<label class=""views-label-field-tb-sponsor-value"">
        Sponsoring Agency:
      </label>
<span class=""field-content"">The Hospice of Windsor and Essex County</span>
</div>",http://wecompassionatecommunity.timebanks.org,
1887 Jamestown Lane,United States,157,,1054,4 weeks 4 days ago,149,York Time Bank,,10,"<div class=""views-field-phone"">
<label class=""views-label-phone"">
        Phone:
      </label>
<span class=""field-content"">240-431-2736</span>
</div>","York, Pennsylvania 17408",8,timebanks/york-time-bank,,http://york.timebanks.org,
